disease,advice_type,advice
Multiple Sclerosis,Precaution,Adhere closely to disease modifying therapies to slow down progression
Leukemia,Precaution,Avoid crowds and sick individuals due to severely compromised immunity
Leukemia,Diet,Follow a neutropenic diet eating thoroughly cooked foods and avoiding raw meats or unwashed items
Leukemia,Rest,Get ample rest and conserve energy to help your body manage treatment side effects
Leukemia,Hydration,Stay well hydrated to help flush out chemotherapy toxins from your body
Leukemia,Lifestyle,Practice meticulous hand washing and oral hygiene routines daily
Lymphoma,Rest,Listen to your body and rest whenever fatigue sets in during therapy
Lymphoma,Diet,Eat small frequent protein rich meals to maintain weight and muscle mass
Lymphoma,Precaution,Monitor your body temperature and seek urgent care for any fever spikes
Lymphoma,Hydration,Drink fluids regularly to maintain hydration and kidney function
Lymphoma,Lifestyle,Avoid rigorous contact sports or activities that could cause bruising or injury
Breast Cancer,Lifestyle,Attend all scheduled chemotherapy radiation or follow up oncology sessions
Breast Cancer,Exercise,Engage in gentle arm stretching exercises post surgery as directed by your physical therapist
Breast Cancer,Diet,Focus on a plant forward diet rich in cruciferous vegetables and fiber
Breast Cancer,Rest,Prioritize rest and seek emotional support groups to manage treatment anxiety
Breast Cancer,Precaution,Monitor surgical incision sites or radiation areas for signs of infection
Lung Cancer,Lifestyle,Quit smoking immediately and completely avoid secondhand smoke environments
Lung Cancer,Exercise,Practice deep breathing exercises to optimize remaining lung capacity
Lung Cancer,Diet,Incorporate high calorie nutrient dense foods if experiencing sudden weight loss
Lung Cancer,Rest,Use extra pillows to elevate your chest and head for comfortable resting breathing
Lung Cancer,Precaution,Report any new symptoms like coughing up blood or bone pain to your oncologist
Colon Cancer,Diet,Eat a high fiber diet with plenty of vegetables fruits and whole grains post treatment
Colon Cancer,Precaution,Undergo regular screening colonoscopies and follow up checks as advised
Colon Cancer,Hydration,Drink plenty of fluids especially if experiencing stool changes or adjusting to an ostomy
Colon Cancer,Exercise,Maintain a regular routine of light physical activity to stimulate bowel health
Colon Cancer,Rest,Allow adequate time for abdominal healing and rest after surgical procedures
Cervical Cancer,Precaution,Attend regular Pap smears and pelvic exams to monitor cellular changes
Cervical Cancer,Diet,Eat foods rich in folate and vitamins A and C to support tissue health
Cervical Cancer,Rest,Get ample bed rest after procedures like biopsies or radiation therapy
Cervical Cancer,Lifestyle,Practice safe sex and discuss HPV vaccination benefits with your provider
Cervical Cancer,Hydration,Maintain regular fluid intake to support overall cellular recovery
Ovarian Cancer,Diet,Eat small frequent meals to manage bloating or early satiety symptoms
Ovarian Cancer,Rest,Take frequent rests and avoid heavy lifting during post surgical recovery
Ovarian Cancer,Precaution,Be vigilant about persistent abdominal bloating or urinary changes and report them
Ovarian Cancer,Exercise,Engage in light walking to prevent deep vein thrombosis after pelvic surgeries
Ovarian Cancer,Hydration,Ensure adequate daily fluid intake to support kidney function during chemotherapy
Prostate Cancer,Precaution,Monitor your PSA levels regularly according to your urologist schedule
Prostate Cancer,Diet,Limit intake of high fat dairy and red meat focus on tomato lycopene rich foods
Prostate Cancer,Exercise,Practice pelvic floor exercises Kegels to improve urinary control
Prostate Cancer,Lifestyle,Maintain a healthy body weight and limit alcohol intake
Prostate Cancer,Rest,Ensure proper rest to recover from fatigue caused by hormone therapy or radiation
Oral Cancer,Lifestyle,Abstain completely from all forms of tobacco alcohol and betel nut products
Oral Cancer,Diet,Consume soft pureed or liquid foods if chewing and swallowing are painful
Oral Cancer,Precaution,Maintain meticulous oral hygiene using a very soft bristled toothbrush
Oral Cancer,Hydration,Sip water frequently or use artificial saliva to manage dry mouth symptoms
Oral Cancer,Rest,Rest your jaw and throat structures avoid prolonged shouting or talking
Skin Cancer,Lifestyle,Apply broad spectrum SPF 30 plus sunscreen daily and wear wide brimmed hats
Skin Cancer,Precaution,Examine your skin monthly for any changing asymmetric or bleeding moles
Skin Cancer,Rest,Allow treated skin biopsy sites or surgical wounds time to heal without friction
Skin Cancer,Diet,Eat an antioxidant rich diet to support skin health and cell repair
Skin Cancer,Exercise,Exercise indoors or during early morning hours to avoid peak UV radiation windows
Measles,Precaution,Isolate the patient completely to prevent spreading this highly contagious virus
Measles,Hydration,Provide ample fluids like water clear juices or broth to treat fever dehydration
Measles,Rest,Ensure total bed rest in a dimly lit room to protect sensitive eyes
Measles,Diet,Offer soft nutritious foods that do not irritate any mouth sores
Measles,Lifestyle,Use cool compresses to soothe high fevers and skin itchiness
Chickenpox,Precaution,Keep the patient isolated until all blisters have fully crusted over
Chickenpox,Lifestyle,Apply calamine lotion and take oatmeal baths to soothe intense skin itching
Chickenpox,Rest,Ensure rest and trim the patient fingernails short to prevent scratching scars
Chickenpox,Hydration,Encourage frequent fluid intake to prevent dehydration from fever
Chickenpox,Diet,Serve soft bland cool foods avoid salty or acidic foods if mouth sores exist
